,age,education,wantsMore,y,age_string_encoded,education_string_encoded,wantsMore_string_encoded,age_one_hot,education_one_hot,wantsMore_one_hot
44,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
45,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
46,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
47,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
48,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
49,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
50,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
51,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
52,<25,low,yes,0,2.0,1.0,0.0,"(3,[2],[1.0])","(1,[],[])","(1,[0],[1.0])"
53,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
54,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
55,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
56,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
57,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
58,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
59,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
60,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
61,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
62,<25,low,no,0,2.0,1.0,1.0,"(3,[2],[1.0])","(1,[],[])","(1,[],[])"
63,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
64,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
65,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
66,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
67,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
68,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
69,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
70,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
71,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
72,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
73,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
74,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
75,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
76,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
77,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
78,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
79,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
80,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
81,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
82,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
83,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
84,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
85,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
86,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
87,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
88,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
89,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
90,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
91,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
92,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
93,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
94,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
95,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
96,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
97,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
98,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
99,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
100,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
101,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
102,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
103,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
104,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
105,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
106,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
107,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
108,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
109,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
110,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
111,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
112,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
113,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
114,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
115,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
116,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
117,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
118,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
119,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
120,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
121,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
122,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
123,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
124,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
125,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
126,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
127,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
128,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
129,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
130,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
131,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
132,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
133,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
134,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
135,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
136,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
137,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
138,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
139,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
140,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
141,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
142,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
143,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
144,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
145,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
146,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
147,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
148,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
149,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
150,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
151,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
152,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
153,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
154,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
155,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
156,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
157,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
158,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
159,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
160,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
161,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
162,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
163,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
164,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
165,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
166,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
167,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
168,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
169,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
170,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
171,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
172,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
173,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
174,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
175,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
176,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
177,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
178,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
179,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
180,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
181,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
182,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
183,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
184,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
185,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
186,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
187,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
188,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
189,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
190,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
191,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
192,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
193,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
194,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
195,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
196,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
197,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
198,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
199,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
200,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
201,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
202,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
203,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
204,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
205,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
206,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
207,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
208,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
209,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
210,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
211,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
212,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
213,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
214,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
215,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
216,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
217,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
218,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
219,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
220,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
221,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
222,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
223,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
224,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
225,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
226,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
227,<25,high,yes,0,2.0,0.0,0.0,"(3,[2],[1.0])","(1,[0],[1.0])","(1,[0],[1.0])"
